timestamp,pos_x,pos_y,pos_z,qx,qy,qz,qw,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z
1723528254.363022804,23.970504850,30.125933024,-0.346039187,0.012463502,0.003087297,0.999916465,0.001480940,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1723528254.466962337,23.740124811,30.178326865,-0.344358943,-0.012793332,-0.003428764,-0.999912278,0.000098068,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1723528254.591796637,23.516232137,30.221239687,-0.342163569,-0.012335554,-0.003374605,-0.999916080,0.002068714,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1723528254.695589542,23.282484016,30.262598964,-0.336444606,-0.012550563,-0.003344512,-0.999908195,0.003859925,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1723528254.798284054,23.049906776,30.315556106,-0.331313059,-0.012721561,-0.003472129,-0.999899965,0.005115238,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1723528254.905815363,22.816111199,30.368672185,-0.326583786,-0.013133670,-0.003961345,-0.999885388,0.006405074,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1723528254.993959904,22.591991515,30.412879451,-0.325285799,-0.013713401,-0.003288887,-0.999863839,0.008569086,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1723528255.099762440,22.351140837,30.452601298,-0.327119461,-0.014366162,-0.003842238,-0.999838005,0.010139738,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1723528255.245720387,22.109547488,30.503056233,-0.337533772,-0.013539222,-0.003032610,-0.999827822,0.012321487,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1723528255.355424881,21.867540146,30.553813937,-0.331946282,-0.012342003,-0.003198969,-0.999822073,0.013901950,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1723528255.416240692,21.631599362,30.593605300,-0.321444273,-0.012352943,-0.003338832,-0.999808125,0.014831386,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1723528255.516906738,21.386965445,30.643851617,-0.317835153,-0.011999142,-0.003653178,-0.999780176,0.016801001,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1723528255.629404545,21.130907978,30.694309462,-0.306262079,-0.012158381,-0.004284913,-0.999748385,0.018357040,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1723528255.735800266,20.886988540,30.727600582,-0.291293551,-0.011615558,-0.004574452,-0.999728766,0.019660828,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1723528255.850422621,20.636678003,30.773719084,-0.284469517,-0.010524661,-0.003916697,-0.999723118,0.020677972,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
