timestamp_s,x_m,y_m,z_m,qx,qy,qz,qw,active_source,state,blend_alpha,switch_count,lidar_ok,imu_ok,camera_ok,fast_livo2_healthy,lvisam_healthy,orbslam3_healthy
1723528267.62927,-12.250307327518247,36.082263892192074,-0.050664775747768453,0.01726193288832621,0.008930846562042924,0.9997788680291426,-0.008029987236007743,fast_livo2,PRIMARY_FAST_LIVO2,1.0,1,True,True,True,True,,True
1723528267.7625253,-12.583487890666667,36.16894427148735,-0.013948823912768218,0.013870705765803945,0.008046159448989326,0.9998502721028539,-0.006503554069045729,fast_livo2,PRIMARY_FAST_LIVO2,1.0,1,True,True,True,True,,True
1723528267.9623997,-12.857758140662046,36.22807802966142,0.0014164856360261487,0.01167919109885067,0.005888115044752924,0.9999055126177863,-0.004229944805607797,fast_livo2,PRIMARY_FAST_LIVO2,1.0,1,True,True,True,True,,True
1723528268.0623329,-13.051750218326728,36.275295137965955,-0.016024075187077293,0.012332260164127355,0.007388734267380751,0.9998940722454503,-0.002272939414191384,fast_livo2,PRIMARY_FAST_LIVO2,1.0,1,True,True,True,True,,True
1723528268.1622643,-13.314181248971252,36.33648310235247,-0.023329987197996994,0.013958705703885117,0.008393297706105283,0.999866445907299,-0.0013406854200162747,fast_livo2,PRIMARY_FAST_LIVO2,1.0,1,True,True,True,True,,True
1723528268.2955024,-13.951353218247348,36.470287013822706,-0.01127075397360904,0.015075447445204235,0.005639378963753169,0.9998689678143953,0.0017249611606867331,fast_livo2,PRIMARY_FAST_LIVO2,1.0,1,True,True,True,True,,True
1723528268.4287572,-14.49098505166306,36.5367242094909,0.0014292831379477682,0.016277514067860616,0.005111750576014728,0.9998541815179,-0.0007268032675983784,fast_livo2,PRIMARY_FAST_LIVO2,1.0,1,True,True,True,True,,True
1723528268.5620074,-14.69701330423614,36.53296482127971,0.003404994652082943,0.01769884918920944,0.0037172083479558977,0.9998352198417068,-0.0015704341951434226,fast_livo2,PRIMARY_FAST_LIVO2,1.0,1,True,True,True,True,,True
1723528268.6619418,-14.695140351222555,36.5715110408709,-0.0066120179525221276,0.0172951322343379,0.0012242451436311479,0.999844543711517,0.0032043774954713554,fast_livo2,PRIMARY_FAST_LIVO2,1.0,1,True,True,True,True,,True
1723528268.7618744,-14.763292119584056,36.63545394211923,0.02432394815270319,0.018047436693927235,-0.002569638819250693,0.9998215762351361,0.004950018162112467,fast_livo2,PRIMARY_FAST_LIVO2,1.0,1,True,True,True,True,,True
